HN,คำนำหน้า,ชื่อ,สกุล,เลขบัตรประชาชน,วันเดือนปีเกิด,อายุ,ระดับการศึกษา,เพศ,บ้านเลขที่,หมู่,ตำบล,อำเภอ,จังหวัด,ที่อยู่รวม,ชื่อผู้ดูแล,เบอร์โทรศัพท์,มีโรคประจำตัว,รายละเอียดโรคประจำตัว,คะแนน MMSE,ผล MMSE,คะแนน TGDS,ผล TGDS,คะแนน 8Q,ระดับความเสี่ยงฆ่าตัวตาย,ผลการได้ยินหูซ้าย,รายละเอียดหูซ้าย,ผลการได้ยินหูขวา,รายละเอียดหูขวา,การมองเห็นตาขวา (Snellen),การมองเห็นตาซ้าย (Snellen),ภาวะกลั้นปัสสาวะ,ปัญหาการนอน,วันที่ประเมิน
HN000011,นาง,ภูผา,สายชล,4280964474176.00,1948-02-19,77,ประถมศึกษา,หญิง,81,8,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 81 หมู่ 8 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,สมโภชน์ ชูศรี,823771915,มี,เบาหวาน,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงเล็กน้อย,6/18,6/12,มี,ไม่มี,2025-01-03
HN000012,นาย,ชวัลลักษณ์,มงคลชัย,6978527580526.00,1959-12-13,66,สูงกว่าประถมศึกษา,ชาย,52,15,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 52 หมู่ 15 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,655435703,มี,โรคหัวใจ,25,ปกติ,7,เสี่ยงซึมเศร้า,11,สูง,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ส่งต่อแพทย์,2025-10-16
HN000013,นาย,สิริพร,ใจดี,1316214850210.00,1933-07-06,92,ประถมศึกษา,ชาย,177,13,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 177 หมู่ 13 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,845096512,มี,โรคหัวใจ,18,สงสัยผิดปกติ,13,เสี่ยงซึมเศร้า,4,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/24,6/12,มี,ไม่มี,2025-05-02
HN000014,นาย,ภูริ,รุ่งเรือง,4086250894921.00,1944-10-24,81,ประถมศึกษา,ชาย,168,5,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 168 หมู่ 5 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,อาทิตย์ ชูศรี,924793125,มี,ข้อเข่าเสื่อม,18,สงสัยผิดปกติ,13,เสี่ยงซึมเศร้า,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-04
HN000015,นาย,ชยพล,จันทร์เพ็ญ,5363914267809.00,1934-09-10,91,สูงกว่าประถมศึกษา,ชาย,86,13,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 86 หมู่ 13 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร เพ็งดี,968785517,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,15,เสี่ยงซึมเศร้า,2,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-04-12
HN000016,นาง,ภูริ,สิงหนาท,9370845781229.00,1950-02-04,75,ประถมศึกษา,หญิง,116,11,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 116 หมู่ 11 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ แสงทอง,898967101,มี,ข้อเข่าเสื่อม,25,ปกติ,6,ปกติ,3,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/12,6/9,ไม่มี,ส่งต่อแพทย์,2025-02-16
HN000017,นาย,ณัฐพล,เกียรติก้อง,4058014732378.00,1950-04-27,75,ไม่ได้เรียนหนังสือ,ชาย,70,14,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 70 หมู่ 14 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ทศพล บุญเรือง,921077380,มี,ข้อเข่าเสื่อม,21,สงสัยผิดปกติ,7,เสี่ยงซึมเศร้า,10,ปานกลาง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,มี,ไม่มี,2025-03-16
HN000018,นาย,พิมพ์ชนก,ทองมาก,6323127683304.00,1949-10-17,76,ประถมศึกษา,ชาย,144,2,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 144 หมู่ 2 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ปวีณ์นุช วงศ์ไทย,813486044,มี,ไขมันในเลือดสูง,24,ปกติ,7,เสี่ยงซึมเศร้า,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/12,6/9,มี,ส่งต่อแพทย์,2025-05-07
HN000019,นาย,ภูริ,สายชล,7091182226844.00,1959-12-09,66,ประถมศึกษา,ชาย,141,14,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 141 หมู่ 14 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,สมโภชน์ วัฒนกิจ,855085294,มี,ข้อเข่าเสื่อม,24,ปกติ,7,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ปกติ,,6/9,6/12,ไม่มี,ส่งต่อแพทย์,2025-01-12
HN000020,นาย,รุ้งตะวัน,สุขเกษม,2854718325159.00,1950-11-08,75,ประถมศึกษา,ชาย,142,5,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 142 หมู่ 5 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,สมพร สมใจ,962396128,ไม่มี,ไม่มี,28,ปกติ,0,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/12,6/12,ไม่มี,ไม่มี,2025-05-19
HN000021,นาย,ณัฐชา,มณีวรรณ,6628546809445.00,1947-01-04,78,ประถมศึกษา,ชาย,153,12,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 153 หมู่ 12 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ทศพล คำแปง,880748101,มี,ความดันโลหิตสูง,22,สงสัยผิดปกติ,3,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/9,6/9,ไม่มี,ไม่มี,2025-04-21
HN000022,นาง,ชยพล,สุขสันต์,6720540785557.00,1953-06-01,72,ประถมศึกษา,หญิง,179,8,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 179 หมู่ 8 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,จารุวรรณ บุญเรือง,870315203,มี,หอบหืด,26,ปกติ,0,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/9,6/9,มี,ไม่มี,2025-10-02
HN000023,นาง,ภูผา,รัตนสกุล,3759775248593.00,1949-03-16,76,ประถมศึกษา,หญิง,52,7,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 52 หมู่ 7 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,กมล เพ็งดี,666641065,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,3,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/18,ไม่มี,ไม่มี,2025-02-10
HN000024,นาง,ณัฐพล,ต้นงิ้ว,6384034612648.00,1932-04-27,93,สูงกว่าประถมศึกษา,หญิง,169,12,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 169 หมู่ 12 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,จิตรา วัฒนกิจ,841123486,ไม่มี,ไม่มี,18,สงสัยผิดปกติ,7,เสี่ยงซึมเศร้า,0,ไม่มีความเสี่ยง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/24,6/24,ไม่มี,ส่งต่อแพทย์,2025-11-24
HN000025,นาง,พิมพ์ชนก,มณีวรรณ,5166230765979.00,1957-11-06,68,ประถมศึกษา,หญิง,30,2,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 30 หมู่ 2 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา สมใจ,672163421,มี,ข้อเข่าเสื่อม,26,ปกติ,5,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/9,6/6,ไม่มี,ส่งต่อแพทย์,2025-01-25
HN000026,นาย,สิทธา,บุญช่วย,9677322952208.00,1946-03-10,79,ประถมศึกษา,ชาย,132,1,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 132 หมู่ 1 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,646213401,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,4,ปกติ,3,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,มี,ไม่มี,2025-08-14
HN000027,นาง,กฤตภาส,ศรีบุญ,8214367197606.00,1948-04-28,77,สูงกว่าประถมศึกษา,หญิง,189,9,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 189 หมู่ 9 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,ปวีณ์นุช แสงทอง,820291980,มี,ความดันโลหิตสูง,26,ปกติ,8,เสี่ยงซึมเศร้า,6,ปานกลาง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-07-26
HN000028,นาง,สมศรี,ศิริสุข,1763433530906.00,1951-05-02,74,สูงกว่าประถมศึกษา,หญิง,26,12,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 26 หมู่ 12 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล วงศ์ไทย,832804793,ไม่มี,ไม่มี,25,ปกติ,8,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-02-10
HN000029,นาย,รุ้งตะวัน,ใจดี,4032485419538.00,1941-01-24,84,ประถมศึกษา,ชาย,141,8,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 141 หมู่ 8 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,นงนุช ปัญญา,684367756,ไม่มี,ไม่มี,27,ปกติ,6,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,ติดเชื้อในหู,6/18,6/18,ไม่มี,ไม่มี,2025-07-08
HN000030,นาย,ขวัญใจ,ศิริสุข,1779143402805.00,1939-07-01,86,ประถมศึกษา,ชาย,70,6,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 70 หมู่ 6 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,กมล เพ็งดี,904574282,มี,ไขมันในเลือดสูง,20,สงสัยผิดปกติ,6,ปกติ,1,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/18,6/18,ไม่มี,ส่งต่อแพทย์,2025-12-03
HN000031,นาย,อนันต์,ทองดี,6048372854163.00,1946-04-15,79,สูงกว่าประถมศึกษา,ชาย,176,12,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 176 หมู่ 12 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล ปัญญา,605903431,มี,หอบหืด,21,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/12,ไม่มี,ไม่มี,2025-02-02
HN000032,นาง,ชยพล,สุขเกษม,6016177592955.00,1954-07-21,71,สูงกว่าประถมศึกษา,หญิง,118,2,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 118 หมู่ 2 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,สมพร วัฒนกิจ,819651465,ไม่มี,ไม่มี,26,ปกติ,5,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/9,ไม่มี,ไม่มี,2025-12-18
HN000033,นางสาว,ชยุต,สิงหนาท,2177165465271.00,1963-11-15,62,ประถมศึกษา,หญิง,37,10,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 37 หมู่ 10 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,อาทิตย์ วงศ์ไทย,846346385,มี,โรคหัวใจ,26,ปกติ,7,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ส่งต่อแพทย์,2025-06-16
HN000034,นาง,ชยาธิป,ปฐวี,1233248442131.00,1935-02-01,90,ประถมศึกษา,หญิง,69,6,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 69 หมู่ 6 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,นงนุช สมใจ,998746560,มี,ไตเรื้อรัง,18,สงสัยผิดปกติ,12,เสี่ยงซึมเศร้า,10,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/24,6/18,ไม่มี,ไม่มี,2025-03-20
HN000035,นาย,ขวัญใจ,อินทรสุข,7510484973493.00,1932-11-17,93,ประถมศึกษา,ชาย,100,14,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 100 หมู่ 14 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,นงนุช แสงทอง,904469574,มี,หอบหืด,22,สงสัยผิดปกติ,5,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/18,6/18,ไม่มี,ไม่มี,2025-03-03
HN000036,นาย,ภูริ,อินทร์ทอง,2067019001171.00,1951-10-07,74,สูงกว่าประถมศึกษา,ชาย,153,10,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 153 หมู่ 10 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,ทศพล แสงทอง,976358111,ไม่มี,ไม่มี,29,ปกติ,6,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-07-07
HN000037,นาย,รุ้งตะวัน,เกียรติก้อง,5258344960003.00,1931-09-18,94,ประถมศึกษา,ชาย,10,1,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 10 หมู่ 1 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,จิตรา ปัญญา,909690145,มี,ไขมันในเลือดสูง,23,สงสัยผิดปกติ,8,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงเล็กน้อย,6/24,6/24,ไม่มี,ไม่มี,2025-11-01
HN000038,นาย,ณัฐชา,ปัญญาธรรม,5486689400380.00,1938-03-03,87,ประถมศึกษา,ชาย,24,6,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 24 หมู่ 6 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,ไม่มีผู้ดูแล,647687573,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,9,ปานกลาง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,ได้ยินไม่ชัด,6/24,6/12,มี,ไม่มี,2025-04-08
HN000039,นาง,จิราภรณ์,ตั้งใจดี,2326084526307.00,1939-04-21,86,ประถมศึกษา,หญิง,38,11,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 38 หมู่ 11 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,ไม่มีผู้ดูแล,951306265,ไม่มี,ไม่มี,19,สงสัยผิดปกติ,5,ปกติ,4,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-02-28
HN000040,นาง,สมศรี,เสริมสุข,3720263166349.00,1954-05-08,71,ประถมศึกษา,หญิง,192,6,ต.คูคต,อ.ลำลูกกา,จ.ปทุมธานี,บ้านเลขที่ 192 หมู่ 6 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี,ทศพล คำแปง,668103388,มี,ไขมันในเลือดสูง,26,ปกติ,2,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/18,6/18,มี,ไม่มี,2025-12-17
HN000041,นาง,ภูผา,ศรีนวล,8153202621987.00,1934-09-22,91,สูงกว่าประถมศึกษา,หญิง,128,15,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 128 หมู่ 15 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,697050129,ไม่มี,ไม่มี,19,สงสัยผิดปกติ,12,เสี่ยงซึมเศร้า,9,ปานกลาง,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/24,6/18,ไม่มี,ส่งต่อแพทย์,2025-08-22
HN000042,นาง,วรัญญา,ศิริกุล,1994126563117.00,1954-10-07,71,ประถมศึกษา,หญิง,83,1,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 83 หมู่ 1 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมโภชน์ บุญเรือง,999074369,ไม่มี,ไม่มี,29,ปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/9,6/18,ไม่มี,ไม่มี,2025-10-18
HN000043,นาง,สมชาย,สุวรรณศิลป์,2782313970018.00,1952-12-05,73,ประถมศึกษา,หญิง,139,13,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 139 หมู่ 13 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,กมล ปัญญา,624343139,มี,ไตเรื้อรัง,30,ปกติ,4,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-10-01
HN000044,นาย,นรินทร์,อินทรสุข,5177482526901.00,1962-05-10,63,ประถมศึกษา,ชาย,80,11,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 80 หมู่ 11 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมพร แสงทอง,678236536,มี,ข้อเข่าเสื่อม,29,ปกติ,4,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/6,ไม่มี,ไม่มี,2025-03-10
HN000045,นาย,วรพล,โชติช่วง,9908709658028.00,1956-11-02,69,ประถมศึกษา,ชาย,26,2,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 26 หมู่ 2 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,กมล คำแปง,961929707,มี,ข้อเข่าเสื่อม,24,ปกติ,7,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-07-25
HN000046,นาย,สมชาย,มงคลชัย,1884576381426.00,1965-06-06,60,ไม่ได้เรียนหนังสือ,ชาย,144,5,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 144 หมู่ 5 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,อาทิตย์ ปัญญา,966308303,มี,ไขมันในเลือดสูง,30,ปกติ,3,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/9,มี,ส่งต่อแพทย์,2025-05-26
HN000047,นาง,ภูผา,ปฐวี,7181001540557.00,1953-03-15,72,สูงกว่าประถมศึกษา,หญิง,108,15,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 108 หมู่ 15 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,ทศพล ปัญญา,825357908,ไม่มี,ไม่มี,28,ปกติ,5,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/9,6/18,ไม่มี,ไม่มี,2025-07-18
